id,file,source_keif_v2,src_w,src_h,out_w,out_h,crop,stamp,corner,corner_pct_of_width,webp_q,psnr_db,kb
1,keif-aldiafa-event-aljar-marina-madinah-chamber-reception-qahwaji-dates.webp,events/exhibition-saudi-event-nayifat-financing-ceremonial-coffee.webp,720,1280,720,1280,,corner,bl,10.8,79,42.5,62
2,keif-aldiafa-event-hajj-conference-exhibition-vision-2030-qahwaji-jeddah.webp,events/ksa-event-exhibition-hospitality-staff-hajj-conference.webp,960,1280,960,1280,,corner,br,9.4,94,41.8,193
3,keif-aldiafa-event-ibn-sina-national-college-medical-qahwaji-hostess-expo.webp,events/indoor-event-traditional-attire-ceremonial-coffee-female-guest.webp,810,1280,810,1280,,corner,tr,10.2,77,42.0,49
4,keif-aldiafa-event-jeddah-municipality-national-day-94-qahwaji-arabic-coffee.webp,services/male/hosts/dagla/dagla-4.webp,720,1280,720,1280,,corner,br,10.8,79,42.1,68
5,keif-aldiafa-event-king-salman-chair-history-heritage-tent-four-qahwajiin.webp,events/official-ceremony-saudi-hosts-traditional-attire-vip-reception.webp,1600,900,1600,900,,corner,tr,6.1,79,42.4,128
6,keif-aldiafa-event-madinah-municipality-jeddah-chamber-exhibition-vip-reception.webp,events/government-event-official-ceremony-madinah-municipality-arabic-coffee.webp,720,1280,720,1280,,corner,bl,10.8,89,42.4,157
7,keif-aldiafa-event-makkah-halal-forum-qahwaji-lounge-coffee-dates.webp,events/saudi-event-vip-reception-makkah-halal-forum-coffee-lounge.webp,1280,960,1280,960,,corner,tr,7.0,80,42.2,80
8,keif-aldiafa-event-ministry-of-hajj-umrah-hafawah-qahwaji-coffee-dates.webp,events/saudi-event-hifawa-vip-traditional-attire-qahwa-service.webp,960,1280,960,1280,,corner,br,9.4,79,42.4,74
9,keif-aldiafa-event-ministry-of-media-qahwaji-golden-dallah-booth.webp,events/government-event-ministry-of-media-official-ceremony.webp,960,1280,960,1280,,corner,br,9.4,78,42.4,59
10,keif-aldiafa-event-ministry-of-transport-tga-mawani-qahwaji-arabic-coffee-exhibition.webp,events/government-event-hospitality-staff-ceremonial-coffee-ministry-transport.webp,720,1280,720,1280,,corner,bl,10.8,90,42.1,135
11,keif-aldiafa-event-official-vip-reception-hall-saudi-emblem-qahwajiin-incense.webp,weddings/vip-wedding-traditional-uniform-dallah-wedding-hall.webp,720,1280,720,1280,,corner,br,10.8,91,42.1,171
12,keif-aldiafa-event-saudi-electricity-company-anti-corruption-day-qahwajiin-coffee-stand.webp,events/government-event-official-ceremony-saudi-electricity-luxury-catering.webp,720,1280,720,1280,,corner,tl,10.8,80,42.5,91
13,keif-aldiafa-event-saudi-national-day-92-carved-watermelon-banquet-hall.webp,fruits/saudi-carved-watermelon-vip-event-fruit-display.webp,1200,900,1200,900,,corner,tl,7.1,91,42.1,173
14,keif-aldiafa-event-saudia-awqaf-exhibition-qahwaji-floral-reception.webp,events/ksa-event-arabic-coffee-ceremony-masked-host-exhibition.webp,720,1280,720,1280,,corner,br,10.8,94,42.0,225
15,keif-aldiafa-event-saudia-group-cybersecurity-awareness-qahwaji-arabic-coffee.webp,events/corporate-event-indoor-cybersecurity-awareness-ceremonial-coffee.webp,960,1280,960,1280,,corner,bl,9.4,90,42.7,180
16,keif-aldiafa-event-turkish-pilgrims-affairs-office-alrifadah-qahwaji-exhibition.webp,events/ksa-event-official-ceremony-turkish-pilgrims-office-luxury.webp,960,1280,960,1280,,corner,br,9.4,84,42.0,96
17,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-1.webp,events/corporate-event-qahwa-service-luxury-catering-basma-emaar.webp,720,1280,720,1280,,corner,br,10.8,89,42.0,124
18,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-2.webp,events/corporate-event-formal-reception-umm-al-qura-university-saudi-hosts.webp,720,1280,720,1280,,corner,br,10.8,90,42.6,125
19,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-1.webp,services/artistic/mobile-table/table-6.webp,720,1280,675,1200,,corner,br,10.8,86,37.2,237
20,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-2.webp,events/majlis-traditional-attire-dates-tower-ceremonial-coffee-display.webp,720,1280,720,1280,,corner,br,10.8,90,40.7,213
21,keif-aldiafa-event-adidas-hackett-london-store-mirror-photo-booth.webp,services/artistic/photo-booth/photo-booth-1.webp,900,1600,900,1600,,corner,bl,10.9,88,42.1,214
22,keif-aldiafa-event-ajdal-jeddah-alinma-investment-qahwaji-exhibition.webp,events/outdoor-event-nahda-park-arabic-coffee-formal-reception.webp,960,1280,960,1280,,corner,bl,9.4,79,42.6,90
23,keif-aldiafa-event-al-amjaad-trading-manufacturing-vip-welcome-qahwajiin.webp,events/formal-reception-saudi-hosts-al-amjaad-office-traditional.webp,720,1280,720,1280,,corner,bl,10.8,80,42.4,76
24,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-1.webp,services/artistic/mobile-table/table-2.webp,960,1280,960,1280,,corner,tl,9.4,89,42.0,203
25,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-2.webp,services/artistic/mobile-table/table-4.webp,960,1280,960,1280,,corner,tl,9.4,90,42.8,231
26,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-3.webp,services/artistic/mobile-table/table-5.webp,960,1280,960,1280,,corner,tr,9.4,90,43.0,208
27,keif-aldiafa-event-al-miftah-showroom-qahwaji-dallah.webp,events/ksa-event-exhibition-luxury-catering-food-booth-dates-tray.webp,960,1280,960,1280,,corner,tl,9.4,78,42.5,40
28,keif-aldiafa-event-al-rayyan-al-makkiya-hotels-sadaa-qahwaji-exhibition.webp,events/vip-reception-luxury-catering-millennium-hotels-golden-dallah.webp,960,1280,960,1280,,corner,tr,9.4,89,42.5,140
29,keif-aldiafa-event-al-safeer-watania-qahwaji-hostess-exhibition.webp,events/saudi-event-corporate-al-safir-masked-hospitality.webp,1280,963,1280,963,,corner,br,7.1,87,42.2,109
30,keif-aldiafa-event-al-wessam-transport-exhibition-booth-qahwaji.webp,events/vip-reception-corporate-event-aljar-marina-qahwa-service.webp,720,1280,720,1280,,corner,bl,10.8,90,42.2,171
31,keif-aldiafa-event-alinma-kayan-qahwaji-dallah-exhibition.webp,events/saudi-event-conference-catering-bci-counter-ceremonial-coffee.webp,960,1280,960,1280,,corner,br,9.4,88,42.4,155
32,keif-aldiafa-event-almana-medical-group-qahwaji-booth-wide-3.webp,events/saudi-event-vip-reception-arabic-coffee-masked-host-exhibition.webp,1024,1280,1024,1280,,corner,br,9.1,76,42.4,51
33,keif-aldiafa-event-almana-medical-group-qahwaji-exhibition-1.webp,events/corporate-event-almana-medical-group-arabic-coffee-ceremony.webp,960,1280,960,1280,,corner,tl,9.4,78,42.1,48
34,keif-aldiafa-event-almana-medical-group-qahwaji-pouring-coffee-2.webp,events/saudi-event-vip-reception-arabic-coffee-masked-host-exhibition.webp,1024,1280,1024,1280,,corner,br,9.1,76,42.4,51
35,keif-aldiafa-event-alrifadah-pilgrims-services-qahwaji-exhibition.webp,events/exhibition-alrifadah-pilgrims-services-arabic-coffee-ceremony.webp,960,1280,960,1280,,corner,bl,9.4,79,43.0,66
36,keif-aldiafa-event-alwagehat-algharbiya-contracting-qahwaji-dates.webp,events/saudi-event-qahwa-service-hospitality-staff-exhibition-booth.webp,720,1280,720,1280,,corner,tl,10.8,89,42.3,141
37,keif-aldiafa-event-amak-mining-company-qahwaji-exhibition.webp,events/exhibition-saudi-hosts-amak-minerals-arabic-coffee-ceremony.webp,960,1280,960,1280,,corner,tl,9.4,79,42.1,76
38,keif-aldiafa-event-amjad-alsalam-hotels-qahwaji-exhibition.webp,events/exhibition-hospitality-staff-almadina-hotel-resorts-saudi-event.webp,960,1280,960,1280,,corner,bl,9.4,89,42.2,154
39,keif-aldiafa-event-anjum-hotel-makkah-qahwaji-exhibition.webp,events/royal-protocol-vip-reception-makkah-hotel-towers-majlis.webp,960,1280,960,1280,,corner,tr,9.4,89,42.5,140
40,keif-aldiafa-event-basma-emaar-group-umrah-exhibition-qahwaji.webp,events/official-ceremony-hospitality-staff-umm-al-qura-exhibition.webp,720,1280,720,1280,,corner,bl,10.8,91,42.3,171
41,keif-aldiafa-event-bci-basic-chemical-industries-qahwaji-dates-exhibition.webp,events/riyadh-event-vip-reception-alinma-booth-ceremonial-coffee.webp,960,1280,960,1280,,corner,bl,9.4,79,42.3,67
42,keif-aldiafa-event-bolt-jeddah-chamber-exhibition-two-qahwajiin-coffee-dates.webp,events/saudi-event-vip-reception-bolt-exhibition-qahwa-service.webp,720,1280,720,1280,,corner,tr,10.8,90,42.1,152
43,keif-aldiafa-event-bon-cafe-qahwaji-black-daglah-exhibition.webp,events/qahwa-service-bon-cafe-arabic-coffee-ceremony-corporate.webp,960,1280,960,1280,,corner,br,9.4,89,42.3,121
44,keif-aldiafa-event-brunello-cucinelli-de-beers-mall-qahwaji-red-shemagh.webp,events/luxury-catering-foot-locker-sneaker-host-ceremonial.webp,1280,720,1280,720,,corner,tr,6.1,81,42.2,74
45,keif-aldiafa-event-dallah-albaraka-namaa-qahwaji-exhibition-1.webp,events/corporate-event-hospitality-staff-formal-reception-saudi-hosts.webp,960,1280,960,1280,,corner,bl,9.4,80,42.4,110
46,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-2.webp,events/ksa-event-exhibition-dallah-albarka-dates-tray-ceremonial.webp,960,1280,960,1280,,corner,br,9.4,78,42.7,60
47,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-3.webp,events/conference-catering-saudi-hosts-vip-reception-dallah-albaraka.webp,960,1280,960,1280,,corner,bl,9.4,78,42.2,56
48,keif-aldiafa-event-dallah-albaraka-qahwaji-pouring-coffee-4.webp,events/corporate-event-vip-reception-dallah-albaraka-ceremonial-coffee.webp,719,1280,719,1280,,corner,bl,10.8,80,42.6,83
49,keif-aldiafa-event-dallah-haj-transport-booth-qahwaji.webp,events/corporate-event-dallah-hajj-transport-ceremonial-coffee.webp,731,1280,731,1280,,corner,tl,10.8,84,42.0,72
50,keif-aldiafa-event-dallah-taibah-hotel-madinah-qahwaji-exhibition.webp,events/hotel-event-dallah-taibah-luxury-catering-qahwa-service.webp,960,1280,960,1280,,corner,tl,9.4,89,42.4,169
51,keif-aldiafa-event-dareen-travel-agency-qahwaji-exhibition.webp,events/saudi-event-conference-catering-dareen-travel-agency-indoor.webp,960,1280,960,1280,,corner,tr,9.4,87,42.2,102
52,keif-aldiafa-event-dawood-trading-company-lobby-qahwaji-golden-dallah.webp,events/corporate-event-saudi-host-qahwa-office-reception-traditional.webp,720,1280,720,1280,,corner,tl,10.8,80,42.9,98
53,keif-aldiafa-event-dragon-city-jeddah-grand-opening-qahwajiin-stage-1.webp,events/indoor-event-new-balance-foot-locker-coffee-booth.webp,960,1280,960,1280,,corner,br,9.4,90,42.0,142
54,keif-aldiafa-event-dragon-city-jeddah-grand-opening-two-qahwajiin-red-carpet-2.webp,events/exhibition-vip-reception-foot-locker-coffee-kiosk.webp,960,1280,960,1280,,corner,br,9.4,91,42.1,142
55,keif-aldiafa-event-flyadeal-airline-booth-qahwaji-arabic-coffee.webp,events/ksa-event-vip-reception-arabic-coffee-flyadeal-corporate.webp,720,1280,720,1280,,corner,tr,10.8,79,42.2,49
56,keif-aldiafa-event-foot-locker-adidas-red-sea-mall-photo-mirror-customers.webp,services/artistic/photo-booth/photo-booth-3.webp,960,1280,960,1280,,corner,tr,9.4,90,42.1,177
57,keif-aldiafa-event-foot-locker-american-eagle-national-day-printed-tote-bags.webp,services/artistic/artist/artist-1.webp,960,1280,960,1280,,corner,tr,9.4,89,42.2,138
58,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-1.webp,events/official-ceremony-grand-opening-saudi-hosts-red-backdrop.webp,960,1280,960,1280,,corner,tl,9.4,89,42.6,170
59,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-2.webp,events/government-event-official-ceremony-saudi-hosts-grand-opening.webp,960,1280,960,1280,,corner,br,9.4,89,42.4,168
60,keif-aldiafa-event-foot-locker-store-arabic-calligraphy-station.webp,services/artistic/artist/artist-7.webp,960,1280,960,1280,,corner,br,9.4,88,42.1,190
61,keif-aldiafa-event-gaib-furniture-arabic-calligrapher-tote-bag.webp,services/artistic/artist/artist-5.webp,828,928,828,928,,corner,br,8.6,76,42.2,35
62,keif-aldiafa-event-gaib-furniture-calligrapher-writing-sarah-tote-2.webp,services/artistic/artist/artist-5.webp,828,928,828,928,,corner,br,8.6,76,42.2,35
63,keif-aldiafa-event-glory-of-luxury-dar-alfakhama-booth-qahwaji.webp,events/luxury-catering-saudi-hosts-glory-of-luxury-indoor-event.webp,720,1280,720,1280,,corner,br,10.8,87,42.1,105
64,keif-aldiafa-event-hafil-transport-exhibition-booth-qahwaji.webp,events/ksa-event-exhibition-hafil-pink-luxury-catering.webp,720,1280,720,1280,,corner,bl,10.8,93,42.0,140
65,keif-aldiafa-event-hilmuna-al-ghalya-wall-qahwaji-black-daglah.webp,services/male/hosts/dagla/dagla-4.webp,720,1280,720,1280,,corner,br,10.8,79,42.1,68
66,keif-aldiafa-event-iconica-boutique-opening-mall-qahwaji.webp,events/saudi-event-vip-reception-luxury-retail-traditional-attire.webp,1280,963,1280,963,,corner,bl,7.1,76,42.2,51
67,keif-aldiafa-event-ishraq-almadina-mias-sunrise-hotels-axiscare-qahwaji.webp,events/formal-reception-government-event-majad-booth-arabic-coffee.webp,960,1280,960,1280,,corner,tl,9.4,80,42.3,124
68,keif-aldiafa-event-jeddah-central-development-company-qahwaji-vip-guests.webp,events/saudi-event-vip-arabic-coffee-ceremony-camel-decor-indoor.webp,638,570,638,570,,corner,bl,7.8,90,42.1,47
69,keif-aldiafa-event-luxury-menswear-boutique-qahwaji-coffee-sweets.webp,events/vip-reception-luxury-catering-menswear-boutique-host.webp,960,1280,960,1280,,corner,tr,9.4,88,42.2,131
70,keif-aldiafa-event-makkah-hotel-towers-mcdc-qahwaji-exhibition-1.webp,events/ksa-event-luxury-catering-mcdc-conference-ceremonial-coffee.webp,960,1280,960,1280,,corner,tl,9.4,89,42.0,115
71,keif-aldiafa-event-makkah-hotel-towers-mcdc-qahwaji-pouring-coffee-2.webp,events/marble-hall-makkah-hotel-towers-saudi-hosts-dates-tray.webp,723,1280,723,1280,,corner,tr,10.8,87,42.1,63
72,keif-aldiafa-event-makkiyoon-golden-qahwaji-exhibition-makkah.webp,events/outdoor-event-tourism-booth-expo-saudi-host-coffee-set.webp,960,1280,960,1280,,corner,bl,9.4,90,42.2,177
73,keif-aldiafa-event-manasik-almashaer-ghufranak-qahwaji-hajj-expo-1.webp,events/saudi-hosts-ceremonial-coffee-expo-makkah-hotel-booth.webp,960,1280,960,1280,,corner,bl,9.4,89,42.2,118
74,keif-aldiafa-event-manasik-almashaer-ghufranak-qahwaji-hajj-expo-2.webp,events/saudi-event-formal-reception-makkah-themed-exhibition.webp,960,1280,960,1280,,corner,bl,9.4,88,42.1,106
75,keif-aldiafa-event-millennium-hotels-resorts-qahwaji-exhibition.webp,events/corporate-event-exhibition-makkiyoon-traditional-attire-qahwa.webp,960,1280,960,1280,,corner,bl,9.4,89,42.3,128
76,keif-aldiafa-event-nahda-park-view-113-real-estate-qahwaji-jeddah.webp,events/indoor-event-luxury-catering-ceremonial-coffee-exhibition-reception.webp,960,1280,960,1280,,corner,br,9.4,84,42.0,88
