id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
1,keif-aldiafa-event-aljar-marina-madinah-chamber-reception-qahwaji-dates.webp,restored,1,0,1,1,0,,,,703,1200,59
2,keif-aldiafa-event-hajj-conference-exhibition-vision-2030-qahwaji-jeddah.webp,restored,1,0,1,1,0,,,,900,1200,118
3,keif-aldiafa-event-ibn-sina-national-college-medical-qahwaji-hostess-expo.webp,restored,1,0,1,1,0,,,,759,1200,54
4,keif-aldiafa-event-jeddah-municipality-national-day-94-qahwaji-arabic-coffee.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,720,1178,68
5,keif-aldiafa-event-king-salman-chair-history-heritage-tent-four-qahwajiin.webp,rebuilt-1-center,2,2,1,3,0,0.28,0.64,0.65,1200,675,96
6,keif-aldiafa-event-madinah-municipality-jeddah-chamber-exhibition-vip-reception.webp,restored,1,0,1,2,0,,,,690,1200,118
7,keif-aldiafa-event-makkah-halal-forum-qahwaji-lounge-coffee-dates.webp,rebuilt-1-center,1,0,1,1,0,0.28,0.5,0.58,1200,900,85
8,keif-aldiafa-event-ministry-of-hajj-umrah-hafawah-qahwaji-coffee-dates.webp,restored,1,0,1,2,0,,,,900,1200,70
9,keif-aldiafa-event-ministry-of-media-qahwaji-golden-dallah-booth.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.75,900,1200,62
10,keif-aldiafa-event-ministry-of-transport-tga-mawani-qahwaji-arabic-coffee-exhibition.webp,restored,1,0,1,3,0,,,,720,1178,108
11,keif-aldiafa-event-official-vip-reception-hall-saudi-emblem-qahwajiin-incense.webp,restored,1,0,1,2,0,,,,681,1200,122
12,keif-aldiafa-event-saudi-electricity-company-anti-corruption-day-qahwajiin-coffee-stand.webp,restored,1,0,1,2,0,,,,720,1178,91
13,keif-aldiafa-event-saudi-national-day-92-carved-watermelon-banquet-hall.webp,restored,1,0,1,1,0,,,,1200,900,133
14,keif-aldiafa-event-saudia-awqaf-exhibition-qahwaji-floral-reception.webp,restored,1,0,1,7,0,,,,703,1200,158
15,keif-aldiafa-event-saudia-group-cybersecurity-awareness-qahwaji-arabic-coffee.webp,restored,1,0,1,1,0,,,,900,1200,127
16,keif-aldiafa-event-turkish-pilgrims-affairs-office-alrifadah-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,900,1200,86
17,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-1.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,720,1178,102
18,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-2.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,720,1178,98
19,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-1.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,675,1200,205
20,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,197
21,keif-aldiafa-event-adidas-hackett-london-store-mirror-photo-booth.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,718,1200,129
22,keif-aldiafa-event-ajdal-jeddah-alinma-investment-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,3,0,0.34,0.5,0.82,900,1200,95
23,keif-aldiafa-event-al-amjaad-trading-manufacturing-vip-welcome-qahwajiin.webp,restored,1,0,1,2,0,,,,720,1140,70
24,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-1.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,154
25,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,178
26,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-3.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,154
27,keif-aldiafa-event-al-miftah-showroom-qahwaji-dallah.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,45
28,keif-aldiafa-event-al-rayyan-al-makkiya-hotels-sadaa-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,110
29,keif-aldiafa-event-al-safeer-watania-qahwaji-hostess-exhibition.webp,rebuilt-1-center,1,2,1,2,0,0.28,0.24,0.58,1200,903,94
30,keif-aldiafa-event-al-wessam-transport-exhibition-booth-qahwaji.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,675,1200,138
31,keif-aldiafa-event-alinma-kayan-qahwaji-dallah-exhibition.webp,rebuilt-1-center,1,1,1,4,0,0.34,0.5,0.45,900,1200,130
32,keif-aldiafa-event-almana-medical-group-qahwaji-booth-wide-3.webp,rebuilt-1-center,0,0,1,1,0,0.34,0.5,0.68,960,1200,62
33,keif-aldiafa-event-almana-medical-group-qahwaji-exhibition-1.webp,restored,1,0,1,1,0,,,,900,1200,50
34,keif-aldiafa-event-almana-medical-group-qahwaji-pouring-coffee-2.webp,restored,1,0,1,1,0,,,,960,1200,58
35,keif-aldiafa-event-alrifadah-pilgrims-services-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,71
36,keif-aldiafa-event-alwagehat-algharbiya-contracting-qahwaji-dates.webp,rebuilt-1-center,1,1,1,4,0,0.34,0.5,0.75,675,1200,106
37,keif-aldiafa-event-amak-mining-company-qahwaji-exhibition.webp,restored,1,0,1,1,0,,,,900,1200,74
38,keif-aldiafa-event-amjad-alsalam-hotels-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,6,0,0.34,0.5,0.61,900,1200,120
39,keif-aldiafa-event-anjum-hotel-makkah-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,112
40,keif-aldiafa-event-basma-emaar-group-umrah-exhibition-qahwaji.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.5,0.61,720,1178,135
41,keif-aldiafa-event-bci-basic-chemical-industries-qahwaji-dates-exhibition.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,68
42,keif-aldiafa-event-bolt-jeddah-chamber-exhibition-two-qahwajiin-coffee-dates.webp,restored,1,0,1,4,0,,,,675,1200,95
43,keif-aldiafa-event-bon-cafe-qahwaji-black-daglah-exhibition.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.68,900,1200,85
44,keif-aldiafa-event-brunello-cucinelli-de-beers-mall-qahwaji-red-shemagh.webp,rebuilt-1-center,1,0,1,1,0,0.28,0.5,0.58,1200,675,75
45,keif-aldiafa-event-dallah-albaraka-namaa-qahwaji-exhibition-1.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,106
46,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-2.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,65
47,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-3.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.68,900,1200,58
48,keif-aldiafa-event-dallah-albaraka-qahwaji-pouring-coffee-4.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.68,674,1200,78
49,keif-aldiafa-event-dallah-haj-transport-booth-qahwaji.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,727,1200,67
50,keif-aldiafa-event-dallah-taibah-hotel-madinah-qahwaji-exhibition.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,127
51,keif-aldiafa-event-dareen-travel-agency-qahwaji-exhibition.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.68,900,1200,81
52,keif-aldiafa-event-dawood-trading-company-lobby-qahwaji-golden-dallah.webp,restored,1,0,1,1,0,,,,675,1200,87
53,keif-aldiafa-event-dragon-city-jeddah-grand-opening-qahwajiin-stage-1.webp,rebuilt-1-center,1,3,1,3,0,0.34,0.5,0.75,900,1200,109
54,keif-aldiafa-event-dragon-city-jeddah-grand-opening-two-qahwajiin-red-carpet-2.webp,rebuilt-1-center,1,0,1,2,0,0.34,0.5,0.61,900,1200,96
55,keif-aldiafa-event-flyadeal-airline-booth-qahwaji-arabic-coffee.webp,rebuilt-1-center,2,0,1,1,0,0.34,0.5,0.61,691,1200,52
56,keif-aldiafa-event-foot-locker-adidas-red-sea-mall-photo-mirror-customers.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,134
57,keif-aldiafa-event-foot-locker-american-eagle-national-day-printed-tote-bags.webp,restored,1,0,1,2,0,,,,900,1200,102
58,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-1.webp,rebuilt-1-center,1,2,1,4,0,0.34,0.36,0.68,900,1200,129
59,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-2.webp,rebuilt-1-center,1,1,1,3,0,0.34,0.36,0.61,900,1200,128
60,keif-aldiafa-event-foot-locker-store-arabic-calligraphy-station.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,900,1200,149
61,keif-aldiafa-event-gaib-furniture-arabic-calligrapher-tote-bag.webp,restored,1,0,1,0,0,,,,828,928,41
62,keif-aldiafa-event-gaib-furniture-calligrapher-writing-sarah-tote-2.webp,rebuilt-1-center,0,0,1,0,0,0.34,0.5,0.61,828,928,44
63,keif-aldiafa-event-glory-of-luxury-dar-alfakhama-booth-qahwaji.webp,restored,1,0,1,1,0,,,,720,1178,84
64,keif-aldiafa-event-hafil-transport-exhibition-booth-qahwaji.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,720,1178,99
