id,catalog_file,publish,watermark_status,keif_v2_source_path,orb_inliers,match_method,has_equivalent_in_images-watermarked/web
1,keif-aldiafa-event-aljar-marina-madinah-chamber-reception-qahwaji-dates.webp,yes,single_ok,public/images/events/exhibition-saudi-event-nayifat-financing-ceremonial-coffee.webp,763,آلي,yes
2,keif-aldiafa-event-hajj-conference-exhibition-vision-2030-qahwaji-jeddah.webp,yes,single_ok,public/images/events/ksa-event-exhibition-hospitality-staff-hajj-conference.webp,758,آلي,yes
3,keif-aldiafa-event-ibn-sina-national-college-medical-qahwaji-hostess-expo.webp,yes,single_ok,public/images/events/indoor-event-traditional-attire-ceremonial-coffee-female-guest.webp,355,آلي,yes
4,keif-aldiafa-event-jeddah-municipality-national-day-94-qahwaji-arabic-coffee.webp,yes,single_ok,public/images/services/male/hosts/dagla/dagla-4.webp,984,آلي,yes
5,keif-aldiafa-event-king-salman-chair-history-heritage-tent-four-qahwajiin.webp,yes,single_ok,public/images/events/official-ceremony-saudi-hosts-traditional-attire-vip-reception.webp,771,آلي,yes
6,keif-aldiafa-event-madinah-municipality-jeddah-chamber-exhibition-vip-reception.webp,yes,single_ok,public/images/events/government-event-official-ceremony-madinah-municipality-arabic-coffee.webp,612,آلي,yes
7,keif-aldiafa-event-makkah-halal-forum-qahwaji-lounge-coffee-dates.webp,yes,double,public/images/events/saudi-event-vip-reception-makkah-halal-forum-coffee-lounge.webp,598,آلي,yes
8,keif-aldiafa-event-ministry-of-hajj-umrah-hafawah-qahwaji-coffee-dates.webp,yes,single_ok,public/images/events/saudi-event-hifawa-vip-traditional-attire-qahwa-service.webp,574,آلي,yes
9,keif-aldiafa-event-ministry-of-media-qahwaji-golden-dallah-booth.webp,yes,single_ok,public/images/events/government-event-ministry-of-media-official-ceremony.webp,923,آلي,yes
10,keif-aldiafa-event-ministry-of-transport-tga-mawani-qahwaji-arabic-coffee-exhibition.webp,yes,single_ok,public/images/events/government-event-hospitality-staff-ceremonial-coffee-ministry-transport.webp,961,آلي,yes
11,keif-aldiafa-event-official-vip-reception-hall-saudi-emblem-qahwajiin-incense.webp,yes,single_ok,public/images/weddings/vip-wedding-traditional-uniform-dallah-wedding-hall.webp,682,آلي,yes
12,keif-aldiafa-event-saudi-electricity-company-anti-corruption-day-qahwajiin-coffee-stand.webp,yes,single_ok,public/images/events/government-event-official-ceremony-saudi-electricity-luxury-catering.webp,906,آلي,yes
13,keif-aldiafa-event-saudi-national-day-92-carved-watermelon-banquet-hall.webp,yes,single_ok,public/images/fruits/saudi-carved-watermelon-vip-event-fruit-display.webp,1084,آلي,yes
14,keif-aldiafa-event-saudia-awqaf-exhibition-qahwaji-floral-reception.webp,yes,single_ok,public/images/events/ksa-event-arabic-coffee-ceremony-masked-host-exhibition.webp,790,آلي,yes
15,keif-aldiafa-event-saudia-group-cybersecurity-awareness-qahwaji-arabic-coffee.webp,yes,single_ok,public/images/events/corporate-event-indoor-cybersecurity-awareness-ceremonial-coffee.webp,1126,آلي,yes
