id,action,width,height,kb,source_keif_v2
1,restored,703,1200,59,
2,restored,900,1200,118,
3,restored,759,1200,54,
4,restored,720,1178,71,
5,restored,1200,675,98,
6,restored,690,1200,118,
7,rebuilt-1-center,1200,900,85,events/saudi-event-vip-reception-makkah-halal-forum-coffee-lounge.webp
8,restored,900,1200,70,
9,restored,900,1200,57,
10,restored,720,1178,108,
11,restored,681,1200,122,
12,restored,720,1178,91,
13,restored,1200,900,133,
14,restored,703,1200,158,
15,restored,900,1200,127,
16,restored,900,1200,86,
17,rebuilt-1-center,720,1178,102,events/corporate-event-qahwa-service-luxury-catering-basma-emaar.webp
18,rebuilt-1-center,720,1178,98,events/corporate-event-formal-reception-umm-al-qura-university-saudi-hosts.webp
19,restored,675,1200,162,
20,rebuilt-1-center,675,1200,197,events/majlis-traditional-attire-dates-tower-ceremonial-coffee-display.webp
21,restored,718,1200,130,
22,restored,900,1200,83,
23,restored,720,1140,70,
24,rebuilt-1-center,900,1200,154,services/artistic/mobile-table/table-2.webp
25,rebuilt-1-center,900,1200,178,services/artistic/mobile-table/table-4.webp
26,rebuilt-1-center,900,1200,154,services/artistic/mobile-table/table-5.webp
27,restored,900,1200,41,
28,rebuilt-1-center,900,1200,110,events/vip-reception-luxury-catering-millennium-hotels-golden-dallah.webp
29,rebuilt-1-center,1200,903,87,events/saudi-event-corporate-al-safir-masked-hospitality.webp
30,rebuilt-1-center,675,1200,136,events/vip-reception-corporate-event-aljar-marina-qahwa-service.webp
31,rebuilt-1-center,900,1200,131,events/saudi-event-conference-catering-bci-counter-ceremonial-coffee.webp
32,restored,960,1200,48,
33,restored,900,1200,50,
34,restored,960,1200,58,
35,rebuilt-1-center,900,1200,71,events/exhibition-alrifadah-pilgrims-services-arabic-coffee-ceremony.webp
36,rebuilt-1-center,675,1200,106,events/saudi-event-qahwa-service-hospitality-staff-exhibition-booth.webp
37,restored,900,1200,74,
38,rebuilt-1-center,900,1200,120,events/exhibition-hospitality-staff-almadina-hotel-resorts-saudi-event.webp
39,rebuilt-1-center,900,1200,112,events/royal-protocol-vip-reception-makkah-hotel-towers-majlis.webp
40,rebuilt-1-center,720,1178,135,events/official-ceremony-hospitality-staff-umm-al-qura-exhibition.webp
41,rebuilt-1-center,900,1200,68,events/riyadh-event-vip-reception-alinma-booth-ceremonial-coffee.webp
42,restored,675,1200,95,
43,rebuilt-1-center,900,1200,86,events/qahwa-service-bon-cafe-arabic-coffee-ceremony-corporate.webp
44,rebuilt-1-center,1200,675,75,events/luxury-catering-foot-locker-sneaker-host-ceremonial.webp
45,rebuilt-1-center,900,1200,104,events/corporate-event-hospitality-staff-formal-reception-saudi-hosts.webp
46,rebuilt-1-center,900,1200,65,events/ksa-event-exhibition-dallah-albarka-dates-tray-ceremonial.webp
47,rebuilt-1-center,900,1200,57,events/conference-catering-saudi-hosts-vip-reception-dallah-albaraka.webp
